test_id,plot_no,baseline_date,target_date,ndvi_baseline,ndbi_baseline,ndwi_baseline,ndvi_target,ndbi_target,ndwi_target,delta_ndvi,delta_ndbi,delta_ndwi,vegetation_rule,construction_rule,flooding_rule,vegetation_inference,construction_inference,flood_inference
86,52,2024-03-31,2024-03-01,0.36,0.38,0.53,0.32,0.33,0.41,0.03999999999999998,0.04999999999999999,0.12000000000000005,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Increased
87,47,2024-01-01,2024-03-31,0.14,0.58,0.25,0.39,0.56,0.49,-0.25,0.019999999999999907,-0.24,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,No Change,Moderate Change - Decreased
88,50,2024-01-31,2024-01-01,0.0,0.14,0.62,0.34,0.33,0.21,-0.34,-0.19,0.41000000000000003,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Decreased,Moderate Change - Decreased,Deep Change - Increased
89,38,2024-03-31,2024-01-01,0.33,0.04,0.55,0.59,0.13,0.11,-0.25999999999999995,-0.09,0.44000000000000006,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Slight Change - Decreased,Deep Change - Increased
90,62,2024-03-01,2024-03-31,0.35,0.0,0.94,0.31,0.0,0.84,0.03999999999999998,0.0,0.09999999999999998,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Increased
91,9,2024-01-01,2024-01-01,0.57,0.14,0.36,0.57,0.14,0.36,0.0,0.0,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
92,3,2024-01-01,2024-01-31,0.53,0.06,0.51,0.67,0.28,0.37,-0.14,-0.22000000000000003,0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Moderate Change - Decreased,Slight Change - Increased
93,32,2024-03-01,2024-01-31,0.28,0.04,0.5,0.29,0.1,0.72,-0.009999999999999953,-0.060000000000000005,-0.21999999999999997,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Decreased,Moderate Change - Decreased
94,13,2024-01-01,2024-03-01,0.7,0.15,0.51,0.38,0.49,0.39,0.31999999999999995,-0.33999999999999997,0.12,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Increased,Deep Change - Decreased,Slight Change - Increased
95,23,2024-01-31,2024-01-31,0.89,0.22,0.22,0.89,0.22,0.22,0.0,0.0,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
96,81,2024-03-31,2024-01-31,0.58,0.28,0.13,0.63,0.28,0.1,-0.050000000000000044,0.0,0.03,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,No Change,No Change
97,49,2024-03-01,2024-03-31,0.0,0.9,0.08,0.0,0.92,0.13,0.0,-0.020000000000000018,-0.05,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
98,79,2024-03-31,2024-01-01,0.44,0.35,0.24,0.69,0.0,0.44,-0.24999999999999994,0.35,-0.2,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Deep Change - Increased,Moderate Change - Decreased
99,35,2024-01-31,2024-01-01,0.56,0.0,0.11,0.5,0.17,0.14,0.06000000000000005,-0.17,-0.030000000000000013,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Moderate Change - Decreased,No Change
100,3,2024-03-01,2024-01-31,0.66,0.35,0.38,0.67,0.28,0.37,-0.010000000000000009,0.06999999999999995,0.010000000000000009,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Increased,No Change
